"","InfantID","FileName","code1","code2","seqcode"
"382","WW04","WW04_segment2.txt","P","P","PP"
"383","WW04","WW04_segment2.txt","P","P","PP"
"384","WW04","WW04_segment2.txt","P","P","PP"
"385","WW04","WW04_segment2.txt","P","P","PP"
"386","WW04","WW04_segment2.txt","P","P","PP"
"387","WW04","WW04_segment2.txt","P","P","PP"
"388","WW04","WW04_segment2.txt","P","P","PP"
"389","WW04","WW04_segment2.txt","P","P","PP"
"390","WW04","WW04_segment2.txt","P","R","PR"
"391","WW04","WW04_segment2.txt","R","X","RX"
"392","WW04","WW04_segment2.txt","X","P","XP"
"393","WW04","WW04_segment2.txt","P","X","PX"
"394","WW04","WW04_segment2.txt","X","P","XP"
"395","WW04","WW04_segment2.txt","P","P","PP"
"396","WW04","WW04_segment2.txt","P","P","PP"
"397","WW04","WW04_segment2.txt","P","P","PP"
"398","WW04","WW04_segment2.txt","P","P","PP"
"399","WW04","WW04_segment2.txt","P","P","PP"
"400","WW04","WW04_segment2.txt","P","X","PX"
"401","WW04","WW04_segment2.txt","X","P","XP"
"402","WW04","WW04_segment2.txt","P","P","PP"
"403","WW04","WW04_segment2.txt","P","P","PP"
"404","WW04","WW04_segment2.txt","P","P","PP"
"405","WW04","WW04_segment2.txt","P","P","PP"
"406","WW04","WW04_segment2.txt","P","P","PP"
"407","WW04","WW04_segment2.txt","P","N","PN"
"408","WW04","WW04_segment2.txt","N","N","NN"
"409","WW04","WW04_segment2.txt","N","N","NN"
"410","WW04","WW04_segment2.txt","N","P","NP"
"411","WW04","WW04_segment2.txt","P","P","PP"
"412","WW04","WW04_segment2.txt","P","P","PP"
"413","WW04","WW04_segment2.txt","P","P","PP"
"414","WW04","WW04_segment2.txt","P","P","PP"
"415","WW04","WW04_segment2.txt","P","P","PP"
"416","WW04","WW04_segment2.txt","P","P","PP"
"417","WW04","WW04_segment2.txt","P","P","PP"
"418","WW04","WW04_segment2.txt","P","P","PP"
"419","WW04","WW04_segment2.txt","P","P","PP"
"420","WW04","WW04_segment2.txt","P","X","PX"
"421","WW04","WW04_segment2.txt","X","X","XX"
"422","WW04","WW04_segment2.txt","X","X","XX"
"423","WW04","WW04_segment2.txt","X","P","XP"
"424","WW04","WW04_segment2.txt","P","P","PP"
"425","WW04","WW04_segment2.txt","P","C","PC"
"426","WW04","WW04_segment2.txt","C","X","CX"
"427","WW04","WW04_segment2.txt","X","X","XX"
"428","WW04","WW04_segment2.txt","X","X","XX"
"429","WW04","WW04_segment2.txt","X","X","XX"
"430","WW04","WW04_segment2.txt","X","X","XX"
"431","WW04","WW04_segment2.txt","X","X","XX"
"432","WW04","WW04_segment2.txt","X","C","XC"
"433","WW04","WW04_segment2.txt","C","P","CP"
"434","WW04","WW04_segment2.txt","P","C","PC"
"435","WW04","WW04_segment2.txt","C","C","CC"
"436","WW04","WW04_segment2.txt","C","C","CC"
"437","WW04","WW04_segment2.txt","C","C","CC"
"438","WW04","WW04_segment2.txt","C","X","CX"
"439","WW04","WW04_segment2.txt","X","X","XX"
"440","WW04","WW04_segment2.txt","X","X","XX"
"441","WW04","WW04_segment2.txt","X","C","XC"
"442","WW04","WW04_segment2.txt","C","P","CP"
"443","WW04","WW04_segment2.txt","P","P","PP"
"444","WW04","WW04_segment2.txt","P","P","PP"
"445","WW04","WW04_segment2.txt","P","P","PP"
"446","WW04","WW04_segment2.txt","P","P","PP"
"447","WW04","WW04_segment2.txt","P","P","PP"
"448","WW04","WW04_segment2.txt","P","P","PP"
"449","WW04","WW04_segment2.txt","P","P","PP"
"450","WW04","WW04_segment2.txt","P","P","PP"
"451","WW04","WW04_segment2.txt","P","P","PP"
"452","WW04","WW04_segment2.txt","P","P","PP"
"453","WW04","WW04_segment2.txt","P","P","PP"
"454","WW04","WW04_segment2.txt","P","P","PP"
"455","WW04","WW04_segment2.txt","P","P","PP"
"456","WW04","WW04_segment2.txt","P","P","PP"
"457","WW04","WW04_segment2.txt","P","P","PP"
"458","WW04","WW04_segment2.txt","P","P","PP"
"459","WW04","WW04_segment2.txt","P","P","PP"
"460","WW04","WW04_segment2.txt","P","P","PP"
"461","WW04","WW04_segment2.txt","P","P","PP"
"462","WW04","WW04_segment2.txt","P","P","PP"
"463","WW04","WW04_segment2.txt","P","P","PP"
"464","WW04","WW04_segment2.txt","P","P","PP"
"465","WW04","WW04_segment2.txt","P","P","PP"
"466","WW04","WW04_segment2.txt","P","P","PP"
"467","WW04","WW04_segment2.txt","P","P","PP"
"468","WW04","WW04_segment2.txt","P","P","PP"
"469","WW04","WW04_segment2.txt","P","P","PP"
"470","WW04","WW04_segment2.txt","P","X","PX"
"471","WW04","WW04_segment2.txt","X","X","XX"
"472","WW04","WW04_segment2.txt","X","P","XP"
"473","WW04","WW04_segment2.txt","P","P","PP"
"474","WW04","WW04_segment2.txt","P","P","PP"
"475","WW04","WW04_segment2.txt","P","P","PP"
"476","WW04","WW04_segment2.txt","P","P","PP"
"477","WW04","WW04_segment2.txt","P","P","PP"
"478","WW04","WW04_segment2.txt","P","P","PP"
"479","WW04","WW04_segment2.txt","P","P","PP"
"480","WW04","WW04_segment2.txt","P","P","PP"
"481","WW04","WW04_segment2.txt","P","P","PP"
"482","WW04","WW04_segment2.txt","P","P","PP"
"483","WW04","WW04_segment2.txt","P","P","PP"
"484","WW04","WW04_segment2.txt","P","P","PP"
"485","WW04","WW04_segment2.txt","P","P","PP"
"486","WW04","WW04_segment2.txt","P","P","PP"
"487","WW04","WW04_segment2.txt","P","P","PP"
"488","WW04","WW04_segment2.txt","P","P","PP"
"489","WW04","WW04_segment2.txt","P","P","PP"
"490","WW04","WW04_segment2.txt","P","P","PP"
"491","WW04","WW04_segment2.txt","P","P","PP"
"492","WW04","WW04_segment2.txt","P","P","PP"
"493","WW04","WW04_segment2.txt","P","P","PP"
